carrera,escuela,enlace,sede,enlace1,vinculo,telefono
Diseño de Ambiente,IP DUOC UC,"https://www.google.cl/maps/place/-33.44891, -70.67008","España 8, Santiago, Región Metropolitana",http://www.duoc.cl/carrera/diseno-de-ambientes,Visita aquí,(+56)229993862
Diseño de Ambiente,IP DUOC UC,"https://www.google.cl/maps/place/-33.40001, -70.50533","Camino El Alba 12881, Las Condes, Región Metropolitana",http://www.duoc.cl/carrera/diseno-de-ambientes,Visita aquí,(+56)229993862
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION","https://www.google.cl/maps/place/-33.44427, -70.62298","Av. Salvador 1200, Providencia, Región Metropolitana",http://www.uniacc.cl/diseno-grafico-diurno/,Visita aquí,(+56)226406151
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,"https://www.google.cl/maps/place/-33.37808, -70.52764","Av. Las Condes 11121, Las Condes, Región Metropolitana",http://web.upacifico.cl/noticias/categoria/carreras/diseno-de-interiores/,Visita aquí,(+56)228625315
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,"https://www.google.cl/maps/place/-33.43161, -70.63713","Fernández Concha 700, Las Condes, Región Metropolitana",https://campuscreativo.cl/carreras/diseno-de-juegos-digitales/,Visita aquí,(+56)226618681
Diseño de Moda,IP INACAP,"https://www.google.cl/maps/place/-29.906, -71.252","Francisco de Aguirre 389, La Serena, Región de Coquimbo",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,Visita aquí,800 20 25 20
Diseño de Moda,IP INACAP,"https://www.google.cl/maps/place/-33.40829, -70.55348","Apoquindo Ote. 7282, Las Condes, Región Metropolitana",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,Visita aquí,800 20 25 20
Diseño de Moda,IP INACAP,"https://www.google.cl/maps/place/-38.72541, -72.63015","Luis Durand 2150, Temuco, IX Región",http://portales.inacap.cl/areas-inacap/diseno-y-comunicacion/carrera/diseno-de-moda,Visita aquí,800 20 25 20
Diseño de Vestuario,IP DUOC UC,"https://www.google.cl/maps/place/-33.40001, -70.50533","Camino El Alba 12881, Las Condes, Región Metropolitana",http://www.duoc.cl/carrera/diseno-de-vestuario,Visita aquí,(+56)229993862
Diseño de Vestuario Profesional Mención Alta Costura,IP AIEP,"https://www.google.cl/maps/place/-33.43321, -70.62455","Triana 820, Providencia, Región Metropolitana",http://admision.aiep.cl/carreras-tecnicas/tecnico-en-diseno-de-vestuario/,Visita aquí,600 450 1500
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,"https://www.google.cl/maps/place/-33.37808, -70.52764","Av. Las Condes 11121, Las Condes, Región Metropolitana",http://www.unab.cl/admision/carreras/diseno-vestuario-textil/,Visita aquí,800 228 622
"Diseño de Vesturaio, Moldaje y Confección",CFT DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD,"https://www.google.cl/maps/place/-33.43696, -70.65849","Santo Domingo 1083, Santiago, Región Metropolitana",http://www.paulinadiard.cl/,Visita aquí,(+56)226980449
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"https://www.google.cl/maps/place/-33.44852, -70.65789","Dieciocho 161, Santiago, Región Metropolitana",http://repositorio.utem.cl/handle/30081993/113,Visita aquí,(+56)227877500
Diseño Gráfico,IP AIEP,"https://www.google.cl/maps/place/-33.04508, -71.6199","Yungay 1582, San Felipe, Región de Valparaíso",http://www.aiep.cl/carrera/diseno-grafico/43/,Visita aquí,600 585 5050
Diseño Gráfico,IP AIEP,"https://www.google.cl/maps/place/-33.44855, -70.66711","Av. Ejército Libertador 49, Santiago, Región Metropolitana",http://www.aiep.cl/carrera/diseno-grafico/43/,Visita aquí,600 585 5050
Diseño Gráfico,IP AIEP,"https://www.google.cl/maps/place/-33.43321, -70.62455","Triana 820, Providencia, Región Metropolitana",http://www.aiep.cl/carrera/diseno-grafico/43/,Visita aquí,600 585 5050
Diseño Gráfico,IP AIEP,"https://www.google.cl/maps/place/-34.16992, -70.73573","Cuevas 70, Rancagua, VI Región",http://www.aiep.cl/carrera/diseno-grafico/43/,Visita aquí,600 585 5050
Diseño Gráfico,IP AIEP,"https://www.google.cl/maps/place/-36.82841, -73.05495","Barros Arana 302, Concepción, Región del Bío Bío",http://www.aiep.cl/carrera/diseno-grafico/43/,Visita aquí,600 585 5050
Diseño Gráfico,IP DUOC UC,"https://www.google.cl/maps/place/-33.03382, -71.53262","Álvarez 2330, Viña del Mar, Región de Valparaíso",http://www.duoc.cl/carrera/diseno-grafico,Visita aquí,(+56)229993862
Diseño Gráfico,IP DUOC UC,"https://www.google.cl/maps/place/-33.40001, -70.50533","Camino El Alba 12881, Las Condes, Región Metropolitana",http://www.duoc.cl/carrera/diseno-grafico,Visita aquí,(+56)229993862
Diseño Gráfico,IP DUOC UC,"https://www.google.cl/maps/place/-33.51604, -70.59814","Av. Vicuña Mackenna Ote. 7110, La Florida, Región Metropolitana",http://www.duoc.cl/carrera/diseno-grafico,Visita aquí,(+56)229993862
Diseño Gráfico,IP DUOC UC,"https://www.google.cl/maps/place/-33.51484, -70.718","Av. Américo Vespucio 1501, Los Cerrillos, Cerrillos, Región Metropolitana",http://www.duoc.cl/carrera/diseno-grafico,Visita aquí,(+56)229993862
Diseño Gráfico,IP DUOC UC,"https://www.google.cl/maps/place/-36.79716, -73.0627","Paicaví 3280, Concepción, Región del Bío Bío",http://www.duoc.cl/carrera/diseno-grafico,Visita aquí,(+56)229993862
